payment_id;customer_id;staff_id;rental_id;amount;payment_date
31966.0;448.0;1.0;13577.0;0.0;20200514000000
32037.0;73.0;2.0;13108.0;2.99;20200514000000
32033.0;60.0;2.0;12489.0;9.98;20200514000000
31990.0;534.0;1.0;14526.0;2.99;20200514000000
31926.0;287.0;2.0;14204.0;0.99;20200514000000
31998.0;568.0;2.0;14531.0;2.99;20200514000000
32050.0;107.0;1.0;15497.0;0.0;20200514000000
32045.0;94.0;1.0;15371.0;4.99;20200514000000
32082.0;214.0;2.0;15645.0;2.99;20200514000000
31956.0;412.0;1.0;15314.0;0.99;20200514000000
31947.0;366.0;1.0;13421.0;4.99;20200514000000
31931.0;317.0;1.0;12574.0;0.99;20200514000000
31992.0;548.0;1.0;13584.0;0.99;20200514000000
32063.0;163.0;1.0;15282.0;0.0;20200514000000
31981.0;512.0;1.0;12786.0;0.99;20200514000000
31973.0;476.0;1.0;13941.0;0.99;20200514000000
32041.0;80.0;2.0;12457.0;2.99;20200514000000
32066.0;175.0;2.0;13161.0;0.0;20200514000000
32071.0;188.0;1.0;14503.0;2.99;20200514000000
32069.0;181.0;2.0;13008.0;2.99;20200514000000
32035.0;64.0;2.0;13333.0;4.99;20200514000000
31920.0;269.0;2.0;12610.0;0.0;20200514000000
31948.0;369.0;1.0;13898.0;0.99;20200514000000
32011.0;9.0;1.0;15813.0;4.99;20200514000000
32014.0;15.0;1.0;13798.0;3.98;20200514000000
31979.0;505.0;2.0;15867.0;4.99;20200514000000
32057.0;142.0;1.0;15454.0;0.99;20200514000000
32053.0;114.0;2.0;12506.0;4.99;20200514000000
31936.0;335.0;2.0;11541.0;0.99;20200514000000
31994.0;557.0;1.0;14278.0;4.99;20200514000000
32007.0;592.0;2.0;14606.0;0.99;20200514000000
31954.0;410.0;1.0;12665.0;2.99;20200514000000
32048.0;101.0;2.0;12141.0;0.99;20200514000000
32019.0;28.0;2.0;12938.0;2.99;20200514000000
32031.0;56.0;2.0;15714.0;4.99;20200514000000
31932.0;324.0;2.0;13965.0;2.99;20200514000000
31924.0;284.0;1.0;12064.0;5.98;20200514000000
32001.0;576.0;1.0;13464.0;0.0;20200514000000
31923.0;282.0;2.0;15430.0;0.99;20200514000000
32094.0;245.0;2.0;12682.0;2.99;20200514000000
32029.0;53.0;2.0;11657.0;7.98;20200514000000
32004.0;585.0;2.0;14604.0;4.99;20200514000000
31991.0;537.0;1.0;13419.0;4.99;20200514000000
32090.0;229.0;2.0;13295.0;0.99;20200514000000
31996.0;560.0;2.0;14425.0;0.0;20200514000000
31993.0;550.0;2.0;11757.0;2.99;20200514000000
32010.0;5.0;2.0;13209.0;0.99;20200514000000
32044.0;91.0;1.0;12902.0;4.99;20200514000000
32067.0;178.0;1.0;12897.0;4.99;20200514000000
31961.0;431.0;2.0;13587.0;2.99;20200514000000
32040.0;75.0;2.0;15191.0;0.0;20200514000000
31986.0;527.0;1.0;14267.0;2.99;20200514000000
31953.0;405.0;1.0;12792.0;0.99;20200514000000
31919.0;269.0;1.0;13025.0;3.98;20200514000000
32056.0;135.0;1.0;13390.0;0.99;20200514000000
32034.0;60.0;2.0;14741.0;0.0;20200514000000
32062.0;163.0;2.0;11754.0;7.98;20200514000000
32081.0;213.0;2.0;14374.0;2.99;20200514000000
32021.0;33.0;1.0;12277.0;0.99;20200514000000
32068.0;180.0;1.0;12901.0;4.99;20200514000000
31930.0;315.0;2.0;14426.0;2.99;20200514000000
32009.0;597.0;1.0;11652.0;4.99;20200514000000
32080.0;211.0;2.0;12746.0;4.99;20200514000000
31983.0;516.0;1.0;12915.0;0.0;20200514000000
31960.0;424.0;1.0;15094.0;0.99;20200514000000
32046.0;99.0;1.0;11593.0;0.99;20200514000000
32032.0;58.0;2.0;15326.0;0.99;20200514000000
32043.0;87.0;2.0;12719.0;4.99;20200514000000
32072.0;190.0;2.0;15167.0;4.99;20200514000000
31949.0;373.0;1.0;11739.0;0.99;20200514000000
31941.0;354.0;1.0;12759.0;7.98;20200514000000
31928.0;296.0;1.0;12009.0;2.99;20200514000000
32013.0;14.0;1.0;13780.0;4.99;20200514000000
32058.0;152.0;2.0;11848.0;4.99;20200514000000
31934.0;330.0;2.0;11709.0;2.99;20200514000000
31955.0;411.0;2.0;13246.0;4.99;20200514000000
32008.0;596.0;1.0;15423.0;0.99;20200514000000
31965.0;448.0;2.0;14734.0;3.98;20200514000000
32020.0;29.0;2.0;15577.0;0.99;20200514000000
31964.0;441.0;1.0;14878.0;4.99;20200514000000
32000.0;576.0;2.0;11942.0;5.98;20200514000000
32078.0;208.0;1.0;13719.0;5.98;20200514000000
31945.0;361.0;1.0;13298.0;3.98;20200514000000
32039.0;75.0;1.0;14488.0;0.0;20200514000000
31929.0;300.0;1.0;15695.0;4.99;20200514000000
31922.0;279.0;2.0;13538.0;4.99;20200514000000
32016.0;21.0;1.0;14933.0;2.99;20200514000000
32089.0;228.0;1.0;15234.0;0.0;20200514000000
32091.0;234.0;1.0;15778.0;0.99;20200514000000
32023.0;42.0;1.0;13351.0;5.98;20200514000000
31969.0;457.0;1.0;12645.0;3.98;20200514000000
32003.0;582.0;2.0;12127.0;2.99;20200514000000
31971.0;472.0;2.0;14928.0;4.99;20200514000000
32030.0;53.0;1.0;14137.0;0.0;20200514000000
31927.0;295.0;2.0;15735.0;0.99;20200514000000
31943.0;355.0;1.0;14760.0;0.99;20200514000000
32097.0;263.0;1.0;15293.0;0.99;20200514000000
31951.0;388.0;1.0;12891.0;0.99;20200514000000
32006.0;590.0;2.0;15458.0;2.99;20200514000000
31950.0;374.0;2.0;15966.0;2.99;20200514000000
31995.0;560.0;2.0;12116.0;5.98;20200514000000
32059.0;155.0;2.0;11496.0;7.98;20200514000000
31918.0;267.0;2.0;13713.0;0.0;20200514000000
31967.0;450.0;1.0;14172.0;0.99;20200514000000
31937.0;336.0;1.0;13022.0;0.99;20200514000000
32052.0;111.0;2.0;15542.0;2.99;20200514000000
32065.0;175.0;2.0;14060.0;3.98;20200514000000
32027.0;44.0;2.0;13428.0;4.99;20200514000000
32049.0;107.0;1.0;13079.0;1.98;20200514000000
31968.0;452.0;1.0;14175.0;4.99;20200514000000
31980.0;508.0;1.0;14318.0;0.99;20200514000000
32076.0;199.0;2.0;13952.0;2.99;20200514000000
32042.0;83.0;2.0;11563.0;4.99;20200514000000
31988.0;532.0;1.0;14616.0;0.99;20200514000000
32038.0;75.0;2.0;13534.0;8.97;20200514000000
32085.0;216.0;1.0;11676.0;0.0;20200514000000
31921.0;274.0;1.0;13486.0;0.99;20200514000000
32060.0;155.0;1.0;12352.0;0.0;20200514000000
31938.0;337.0;2.0;11847.0;0.99;20200514000000
31958.0;421.0;2.0;15710.0;0.99;20200514000000
32015.0;15.0;2.0;13968.0;0.0;20200514000000
32018.0;23.0;2.0;15532.0;2.99;20200514000000
32022.0;41.0;1.0;15875.0;2.99;20200514000000
32074.0;192.0;1.0;11611.0;4.99;20200514000000
32073.0;191.0;1.0;14361.0;0.99;20200514000000
32036.0;69.0;2.0;11995.0;0.99;20200514000000
32084.0;216.0;1.0;12970.0;5.98;20200514000000
32064.0;168.0;1.0;15894.0;0.99;20200514000000
32086.0;219.0;1.0;11577.0;4.99;20200514000000
32087.0;227.0;2.0;13374.0;4.99;20200514000000
32051.0;108.0;1.0;15294.0;4.99;20200514000000
31959.0;422.0;2.0;15441.0;2.99;20200514000000
31946.0;361.0;1.0;14769.0;0.0;20200514000000
32005.0;587.0;1.0;12144.0;0.99;20200514000000
32025.0;43.0;2.0;15644.0;3.98;20200514000000
31999.0;570.0;1.0;12716.0;0.99;20200514000000
31933.0;327.0;1.0;15297.0;2.99;20200514000000
32096.0;252.0;2.0;13756.0;4.99;20200514000000
31942.0;354.0;1.0;11782.0;0.0;20200514000000
32092.0;236.0;1.0;12988.0;0.99;20200514000000
