actor_id;film_id;last_update
34.0;125.0;20060215000000
63.0;809.0;20060215000000
116.0;647.0;20060215000000
187.0;976.0;20060215000000
171.0;779.0;20060215000000
149.0;921.0;20060215000000
7.0;637.0;20060215000000
81.0;564.0;20060215000000
186.0;237.0;20060215000000
148.0;633.0;20060215000000
191.0;420.0;20060215000000
101.0;255.0;20060215000000
131.0;647.0;20060215000000
80.0;688.0;20060215000000
178.0;1000.0;20060215000000
177.0;764.0;20060215000000
8.0;532.0;20060215000000
62.0;465.0;20060215000000
50.0;924.0;20060215000000
129.0;597.0;20060215000000
23.0;42.0;20060215000000
182.0;639.0;20060215000000
181.0;409.0;20060215000000
77.0;694.0;20060215000000
32.0;667.0;20060215000000
99.0;967.0;20060215000000
29.0;10.0;20060215000000
90.0;384.0;20060215000000
190.0;682.0;20060215000000
144.0;125.0;20060215000000
102.0;123.0;20060215000000
50.0;520.0;20060215000000
7.0;173.0;20060215000000
15.0;817.0;20060215000000
61.0;433.0;20060215000000
167.0;319.0;20060215000000
93.0;621.0;20060215000000
26.0;21.0;20060215000000
169.0;248.0;20060215000000
27.0;462.0;20060215000000
107.0;606.0;20060215000000
101.0;60.0;20060215000000
97.0;656.0;20060215000000
191.0;801.0;20060215000000
2.0;481.0;20060215000000
149.0;992.0;20060215000000
129.0;826.0;20060215000000
124.0;858.0;20060215000000
40.0;326.0;20060215000000
142.0;18.0;20060215000000
9.0;650.0;20060215000000
120.0;994.0;20060215000000
65.0;694.0;20060215000000
60.0;986.0;20060215000000
81.0;579.0;20060215000000
180.0;441.0;20060215000000
194.0;215.0;20060215000000
56.0;728.0;20060215000000
197.0;258.0;20060215000000
179.0;852.0;20060215000000
107.0;369.0;20060215000000
38.0;353.0;20060215000000
53.0;573.0;20060215000000
95.0;855.0;20060215000000
44.0;591.0;20060215000000
21.0;321.0;20060215000000
53.0;109.0;20060215000000
141.0;849.0;20060215000000
15.0;445.0;20060215000000
20.0;366.0;20060215000000
102.0;200.0;20060215000000
107.0;138.0;20060215000000
102.0;34.0;20060215000000
155.0;768.0;20060215000000
40.0;521.0;20060215000000
99.0;381.0;20060215000000
64.0;335.0;20060215000000
191.0;914.0;20060215000000
133.0;882.0;20060215000000
119.0;570.0;20060215000000
200.0;879.0;20060215000000
109.0;463.0;20060215000000
97.0;641.0;20060215000000
142.0;328.0;20060215000000
5.0;392.0;20060215000000
134.0;278.0;20060215000000
94.0;521.0;20060215000000
166.0;38.0;20060215000000
132.0;698.0;20060215000000
74.0;902.0;20060215000000
123.0;148.0;20060215000000
143.0;497.0;20060215000000
128.0;82.0;20060215000000
183.0;388.0;20060215000000
115.0;383.0;20060215000000
14.0;536.0;20060215000000
129.0;367.0;20060215000000
130.0;26.0;20060215000000
111.0;737.0;20060215000000
175.0;483.0;20060215000000
169.0;301.0;20060215000000
193.0;412.0;20060215000000
115.0;661.0;20060215000000
109.0;12.0;20060215000000
83.0;519.0;20060215000000
71.0;956.0;20060215000000
97.0;518.0;20060215000000
109.0;243.0;20060215000000
47.0;737.0;20060215000000
48.0;267.0;20060215000000
151.0;658.0;20060215000000
168.0;678.0;20060215000000
190.0;693.0;20060215000000
89.0;342.0;20060215000000
36.0;714.0;20060215000000
150.0;777.0;20060215000000
22.0;23.0;20060215000000
127.0;459.0;20060215000000
20.0;531.0;20060215000000
83.0;52.0;20060215000000
182.0;990.0;20060215000000
181.0;233.0;20060215000000
79.0;646.0;20060215000000
106.0;204.0;20060215000000
30.0;797.0;20060215000000
23.0;6.0;20060215000000
127.0;286.0;20060215000000
161.0;90.0;20060215000000
11.0;348.0;20060215000000
60.0;436.0;20060215000000
172.0;493.0;20060215000000
1.0;506.0;20060215000000
61.0;648.0;20060215000000
86.0;249.0;20060215000000
117.0;178.0;20060215000000
185.0;571.0;20060215000000
8.0;895.0;20060215000000
38.0;24.0;20060215000000
2.0;145.0;20060215000000
94.0;354.0;20060215000000
76.0;464.0;20060215000000
96.0;945.0;20060215000000
10.0;980.0;20060215000000
164.0;673.0;20060215000000
80.0;622.0;20060215000000
37.0;925.0;20060215000000
84.0;616.0;20060215000000
26.0;340.0;20060215000000
31.0;163.0;20060215000000
28.0;574.0;20060215000000
158.0;483.0;20060215000000
62.0;981.0;20060215000000
120.0;911.0;20060215000000
139.0;719.0;20060215000000
127.0;641.0;20060215000000
59.0;984.0;20060215000000
65.0;852.0;20060215000000
22.0;634.0;20060215000000
113.0;656.0;20060215000000
111.0;403.0;20060215000000
3.0;453.0;20060215000000
155.0;966.0;20060215000000
168.0;196.0;20060215000000
87.0;48.0;20060215000000
120.0;238.0;20060215000000
50.0;288.0;20060215000000
183.0;941.0;20060215000000
51.0;153.0;20060215000000
3.0;827.0;20060215000000
119.0;751.0;20060215000000
107.0;879.0;20060215000000
180.0;724.0;20060215000000
100.0;850.0;20060215000000
45.0;920.0;20060215000000
132.0;345.0;20060215000000
136.0;542.0;20060215000000
200.0;537.0;20060215000000
115.0;671.0;20060215000000
151.0;167.0;20060215000000
93.0;120.0;20060215000000
175.0;616.0;20060215000000
28.0;508.0;20060215000000
143.0;603.0;20060215000000
132.0;156.0;20060215000000
48.0;792.0;20060215000000
127.0;48.0;20060215000000
62.0;295.0;20060215000000
78.0;767.0;20060215000000
191.0;969.0;20060215000000
168.0;433.0;20060215000000
145.0;726.0;20060215000000
120.0;830.0;20060215000000
195.0;359.0;20060215000000
102.0;631.0;20060215000000
6.0;193.0;20060215000000
160.0;455.0;20060215000000
118.0;151.0;20060215000000
72.0;636.0;20060215000000
117.0;224.0;20060215000000
68.0;706.0;20060215000000
53.0;256.0;20060215000000
19.0;217.0;20060215000000
63.0;73.0;20060215000000
68.0;205.0;20060215000000
173.0;313.0;20060215000000
76.0;474.0;20060215000000
128.0;949.0;20060215000000
150.0;551.0;20060215000000
113.0;726.0;20060215000000
133.0;452.0;20060215000000
39.0;71.0;20060215000000
118.0;695.0;20060215000000
108.0;733.0;20060215000000
189.0;628.0;20060215000000
133.0;594.0;20060215000000
85.0;960.0;20060215000000
134.0;243.0;20060215000000
